target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
AL391994.1	0.8502324888201039	0.9998704121877456	-0.13574439961846327	0.7189021759654698	4.418146705631188	0.3896202462766741	0.12338085571878796	0.29205239489084944	1.3926254708643482	1.3926254708643482
HSD17B6	0.7242615025065743	0.9998704121877456	-0.3649076165630855	1.0344090503711623	5.576933759892296	2.9423815465508634	0.17541706784273364	2.9632557103939248	1.2399679195267983	2.9632557103939248
RP11-361M10.3	0.7125895312920101	0.9998704121877456	-0.24911145010675875	0.6762340740263523	5.373761343412891	0.5843865850063363	0.06105781769535395	0.5542790859459883	1.2803335827358617	1.2803335827358617
MARK2P8	0.2948263090215413	0.9998704121877456	-0.7748305853112709	0.7396296253662965	2.860162221269413	0.6424872338083304	0.3482124216466431	0.2082305112695716	1.2564733943305222	1.2564733943305222
KCNAB3	0.8413658126135338	0.9998704121877456	0.12463215148922235	0.622703851830097	6.108848999289736	0.3790160555175144	0.04954420575252329	0.35512200982976083	1.0878853830273256	1.0878853830273256
TBL1X	0.29900701757386283	0.9998704121877456	0.5442950948073775	0.5240837237795272	9.77479061758293	0.8102046635318694	0.005096140566622049	0.8005841913898509	0.47103005533578934	0.8005841913898509
FTH1P4	0.6611690481042469	0.9998704121877456	-0.2234694983490428	0.509855474860014	7.270358201533746	0.4019500444488707	0.015544161739073518	0.4060569162086115	0.7469834803121356	0.7469834803121356
CCT7P1	0.9345854320925955	0.9998704121877456	-0.0729315927004753	0.8885745836401907	2.8760965778312384	2.151738557299305	0.31377999984511973	2.0022767195161393	1.2597010537844509	2.0022767195161393
PTPN2P1	0.41003435732250254	0.9998704121877456	0.6836042379604332	0.8297847945096583	5.0101060591885105	1.9733730178905031	0.1410567056209706	1.8786688562973743	1.3378380223407003	1.8786688562973743
RPL5P4	0.5253788816058523	0.9998704121877456	-0.4401068289016138	0.6929987333224124	5.038720060776323	0.2644463796207803	0.07483569701859641	0.16624739427959392	1.3338895531817099	1.3338895531817099
WDR70	0.8391920392963591	0.9998704121877456	-0.0841561422513633	0.4147112762471315	9.647687259365854	0.4699394879527232	0.004389867459136666	0.5001007643040022	0.4728246495397215	0.5001007643040022
AK3P3	0.6725517800274079	0.9998704121877456	-0.3104592968917631	0.7345568289744377	2.645236839629009	1.4898910253197744	0.2215132967891864	1.3612363258568922	1.2098785071604934	1.3612363258568922
RP11-484L7.1	0.8651804898584429	0.9998704121877456	-0.12411192673348966	0.7310015808038257	3.9351390781539584	0.4823428692978074	0.1748052922104289	0.34116515218346627	1.392660420460135	1.392660420460135
ZDHHC14	0.5468318516255175	0.9998704121877456	0.28340109927412876	0.47036410972882653	8.621496071266073	0.6194502971784641	0.056732944959240014	0.5922447491556687	0.5246858841163545	0.5922447491556687
RP11-177A2.5	0.5032281378481466	0.9998704121877456	-0.48121354537033184	0.7188523720721666	2.7835085634239873	1.343565071360285	0.27529668867867724	1.1193686448123634	1.2404995943004127	1.2404995943004127
BTRC	0.7235865930187722	0.9998704121877456	0.15950129287506556	0.4509896927541106	8.099033495244798	0.1939641416405953	0.012231716261135471	0.19091228680377242	0.5843839457855092	0.5843839457855092
RP11-484L7.2	0.7635636886245113	0.9998704121877456	-0.21040159019872756	0.6994632487927934	4.941611492101627	0.6978360290099178	0.08828060294187451	0.6532462565920947	1.3468493171993154	1.3468493171993154
SETP10	0.9483639382870487	0.9998704121877456	-0.048278076575547044	0.7454755761430492	3.612935619337601	0.7569773478896066	0.25981691654268546	0.5548635401700976	1.3703356650263607	1.3703356650263607
USP17L2	0.4806214093532573	0.9998704121877456	0.7503875491824864	1.0639215522915524	7.396953514068612	3.2011381550896334	0.023194445487179065	3.2971308248421893	0.7127579536376311	3.2971308248421893
ANKRD36BP2	0.3917542320916014	0.9998704121877456	0.7948089326222839	0.9280376573665613	9.277747121119152	2.4782521981384247	0.00829541987209177	2.5180493343664594	0.4837526931105922	2.5180493343664594
MAST2	0.6198069218756797	0.9998704121877456	-0.2706969180285043	0.5456235009913426	9.104193054302831	0.8262449662285818	0.0034854662601456633	0.8697825479197332	0.49184132480116605	0.8697825479197332
RPS2P32	0.9256510312566695	0.9998704121877456	0.06813436876619317	0.7301320161959356	4.143531324852776	0.7327361623607556	0.1657665629074638	0.6222864280599376	1.397972202910606	1.397972202910606
EIF4A1P11	0.9323858930236782	0.9998704121877456	-0.06230907996540494	0.7344010616902021	2.799101996553901	0.5301256115171422	0.3382700566512395	0.23175841450245255	1.243808373623069	1.243808373623069
RP11-444E17.6	0.5236582178669332	0.9998704121877456	0.4806644369397431	0.7537274135114727	3.078595804054916	1.1152816921557152	0.36862205981997853	0.780318812546184	1.2978193142241923	1.2978193142241923
PTPRD	0.8346703631694659	0.9998704121877456	-0.2278891775228053	1.0918652941916194	10.247478120935346	3.2581248115038846	0.0601167633700238	3.4369147105664206	0.4711891236669685	3.4369147105664206
FCF1P1	0.3203596474497823	0.9998704121877456	-0.724965475299972	0.7295477006344451	2.6921039322497373	0.840793015014078	0.3407258650482997	0.4461522671382242	1.2205110209546508	1.2205110209546508
KISS1	0.498702921133875	0.9998704121877456	0.7300176651673769	1.0790585509979445	2.3954930087530433	3.2831755368174425	0.2585955392337538	3.156882039779478	1.1491287560009114	3.156882039779478
HPS4	0.5075451681420082	0.9998704121877456	0.267765915353309	0.40407436507125627	10.544091672701281	0.3522448076048824	0.0036645900977059615	0.3594978295860138	0.4752786145916615	0.4752786145916615
MTRF1L	0.3282708660693013	0.9998704121877456	-0.40779073224989915	0.4171333979993834	9.292932173952748	0.41366379588890784	0.0272775208620788	0.3806839804665294	0.48312327620235646	0.48312327620235646
RHBDD2	0.38609669762490806	0.9998704121877456	0.3668616082680371	0.4232769246996341	8.729184403908285	0.22764966255353108	0.009698782656988685	0.20509394448617557	0.5158470586270053	0.5158470586270053
DDX11L9	0.33407678055030865	0.9998704121877456	-1.2283254295179735	1.2716441743411113	3.8780975468737395	4.720740962784931	0.633524637610165	4.109906820387849	1.3899323716460226	4.109906820387849
RP11-454L9.2	0.5158180162289443	0.9998704121877456	0.42039769418233097	0.6469595053097887	5.813568771522443	0.5819479021731593	0.049849847836102475	0.5369847866270531	1.1779161832619114	1.1779161832619114
HNRNPA1P54	0.5510599004894052	0.9998704121877456	-0.3231937556486556	0.5421143697162686	6.974747058202668	0.6699138724756949	0.02660102335862661	0.6712755318081599	0.8354704135431171	0.8354704135431171
WBP1	0.8757782447056202	0.9998704121877456	-0.06931710265334487	0.4434216310836375	8.301918350836608	0.1871335693424765	0.019168961392952908	0.18127532419796463	0.5575910844848095	0.5575910844848095
BUB3	0.9586643595108015	0.9998704121877456	-0.02083401445537077	0.4019702793597111	10.252939409792216	0.3065086874512847	0.002724876137911086	0.32726346177902893	0.4712434332950932	0.4712434332950932
TMEM187	0.9352149732111853	0.9998704121877456	0.056680165320116514	0.6972981035405319	4.0761623891755185	0.25933063949818674	0.029151589265784993	0.24940265732102418	1.3971073699911338	1.3971073699911338
CTD-2328D6.1	0.7911973401725265	0.9998704121877456	-0.2303446645326825	0.8700258275574446	18.94379670243394	0.5349178275783881	4.4353389432627115e-6	0.5640887059656688	2.220367390470972	2.220367390470972
TCTE1	0.6597746860761141	0.9998704121877456	0.5142827495015582	1.1682289890304842	3.0889837745019366	3.7727597530815893	0.1843571864346449	3.8189357946115052	1.2996255068150457	3.8189357946115052
SASH1	0.9069816885627261	0.9998704121877456	0.06536697580353237	0.559426013263237	6.730725338382406	0.5661855185160501	0.010856626383559664	0.5979174959817724	0.9071519356088656	0.9071519356088656
RP11-545A16.3	0.674871224517254	0.9998704121877456	-0.4506686564512108	1.074371286192666	3.0041571343565217	3.1865763444211135	0.21259041568924442	3.1732789887235873	1.2844436951369405	3.1732789887235873
EPC1	0.8235992450426599	0.9998704121877456	0.09583761729611474	0.4299229855372805	8.506226540927925	0.16235146188630384	0.006919215059688247	0.16584834209419902	0.5352598538539586	0.5352598538539586
RP11-640M9.2	0.17555914766687944	0.9998704121877456	-0.6324768755526088	0.46692569653124577	10.876957621239983	0.677659059977271	0.0034624025479309335	0.6360617752902236	0.48212307238136987	0.6360617752902236
MARK2	0.2719894218077732	0.9998704121877456	-0.4640700387873289	0.42246075595093696	11.918431721203774	0.14809948886344118	0.0038104915428097954	0.10708698856857259	0.5197105733918591	0.5197105733918591
GEMIN8P4	0.7771868253550702	0.9998704121877456	0.20870077645410395	0.7374925299450624	3.0209356691288436	0.9528400408372297	0.3079016707582196	0.7084057341430434	1.2875243423011022	1.2875243423011022
