row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AC063979.1	0.05717065269406449	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC064836.3	1.4870421359994774	-1.0381766227719011	1.4603976939182897	-0.7108862381084997	0.4771547346390335	NA
AC064847.4	0.07070491960854526	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC064850.4	25.870627228338364	-0.9221880546413542	0.5592135433152652	-1.6490803301619192	0.09913117876281065	0.49363652149060017
AC064852.5	30.20867887447724	-0.40326684004112606	0.5155275545857289	-0.782241097403971	0.434072896084963	0.7982618208614849
AC064853.3	1.0484238111799666	-2.9185974602854743	3.2831662575122342	-0.8889581676247471	0.3740255623059789	NA
AC064874.1	35.97890937293522	-1.1371705799511065	0.4189777731589951	-2.7141549094051087	0.006644508740713013	0.1592963296638334
AC066692.3	1.1729482662521498	-0.6376619896270668	1.6057373715609395	-0.3971147467329571	0.6912828458445239	NA
AC067852.1	0	NA	NA	NA	NA	NA
AC067940.1	1.9265357463112405	-0.3059964394542442	1.2860595595571895	-0.23793333456469432	0.8119328005828509	NA
AC067945.3	50.8282607730155	0.011885360109773525	0.6010762229682236	0.01977346575294803	0.9842240850062206	0.9965273371913508
AC068039.1	0	NA	NA	NA	NA	NA
AC068042.1	0.5703591490508071	-2.029859358318144	2.775683577657202	-0.731300705403688	0.46459549972073577	NA
AC068044.1	0.6329224554730165	-1.3122674632923395	2.002774299943039	-0.6552248365328344	0.5123230057952237	NA
AC068134.10	24.798894591191758	0.13977286320562202	0.4889086435968136	0.2858874864173765	0.774964298326978	0.9376748891113267
AC068134.5	13.078546331928184	-3.928274080885909	1.9075699325297664	-2.0593080305456173	0.039464739675579695	0.3506985011025448
AC068135.1	0.11786727036766176	-0.47502159247927245	3.47306314760016	-0.13677309403588184	0.8912101515959397	NA
AC068137.11	0	NA	NA	NA	NA	NA
AC068137.13	0.563544476651112	-1.1353964244295784	2.7987202359519454	-0.405684144433032	0.6849746937938823	NA
AC068137.5	0	NA	NA	NA	NA	NA
AC068137.6	0	NA	NA	NA	NA	NA
AC068137.8	0	NA	NA	NA	NA	NA
AC068279.1	0.5945331308092805	0.313610076121016	2.287166291079779	0.1371173042135732	0.8909380748716295	NA
AC068279.2	0.5269554093955707	0.9328660711683544	1.900357292107491	0.49088983163466515	0.6235043692907801	NA
AC068279.3	15.628602071074788	-0.7818398152956308	0.6680098284867207	-1.1704016646982207	0.24183936606794085	0.670886638726512
AC068287.1	0	NA	NA	NA	NA	NA
AC068491.3	33.78105045965747	-0.1247962550357984	0.6264225360716976	-0.19922057054076797	0.8420902089660299	0.9598590195854814
AC068522.4	11.064708715535136	-0.8032867522682691	0.6500371973962455	-1.2357550544582245	0.21654962633401684	0.6484545026158214
AC068533.7	279.7489970004458	-0.6835227465483232	0.5077888475995519	-1.3460767202342283	0.17827777551507384	0.6117985455282021
AC068535.5	0.07070491960854523	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC068538.2	1.2764751343669023	-3.2019470523445324	3.1422295292093327	-1.0190048252618344	0.3082006757511077	NA
AC068620.1	4.854581454367569	-0.9870451484051507	0.7177819721333176	-1.375132264009859	0.16909044334360562	0.6009720757774226
AC068657.2	17.72432135197035	-0.319872309573233	0.5673177598808781	-0.5638327092746009	0.5728679888819961	0.8607458276161187
AC068831.11	0.0571706526940645	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC068831.12	0.2761481104447442	-1.0130644635144008	3.472516842997627	-0.2917378113103347	0.7704870969253043	NA
AC068896.1	1.03993459127626	-1.4292910975458042	1.547297780207301	-0.9237336961436817	0.35562498366752804	NA
AC068987.1	10.282732384105106	-1.0875284225720847	0.7118360935570203	-1.5277792632539084	0.12656735252941212	0.5431457744707286
AC069154.4	2.083576650606087	1.0488860223462373	1.802805979363594	0.5818074902971551	0.5606963581963139	NA
AC069157.1	0.1462989411319632	-0.47502159247927245	3.47306314760016	-0.13677309403588184	0.8912101515959397	NA
AC069200.1	2.398083818052249	-2.122485057634757	1.1840069239629951	-1.7926289235966437	0.0730322783856298	NA
AC069213.1	648.3189890624692	-0.24270016951930995	0.7942635149379011	-0.30556630759790754	0.7599348768084601	0.9323409557289843
AC069213.4	7.072425805542201	-0.345716418475533	0.6367640999009291	-0.5429269937317781	0.5871800694570424	0.8672538218947694
AC069257.6	4.228319628463152	-0.8068818888515809	1.223235204456532	-0.6596293876369167	0.5094916906120565	NA
AC069282.6	8.265193321816835	-0.05540937700485361	0.6386332597313569	-0.0867624354988366	0.9308603471132134	0.9845173321566025
AC069287.1	0	NA	NA	NA	NA	NA
AC069368.3	489.9908823586539	1.6611747277084097	0.6832703033836813	2.4312116588149144	0.015048420763924273	0.23151818685621692
AC069547.1	4.007635443290185	-0.354352109256628	0.9367871197165998	-0.3782632166887904	0.7052350677546921	NA
AC069547.2	5.6759295249340616	-1.4068268016264418	0.9024117184163584	-1.55896335665419	0.11900505328131919	0.5311780708137762
AC072052.7	0.32599656155618356	-1.2365118184376038	2.406850278400121	-0.5137468788708938	0.6074289719238859	NA
AC072061.2	0.19934717124455076	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
AC073052.1	4.311521182964967	-1.1061664928658246	0.8386685113445587	-1.3189555562213866	0.18718397112245957	NA
AC073055.2	0.6570134130869083	-0.6387665345085548	1.794257757349695	-0.35600600409390415	0.7218360687626524	NA
AC073063.1	0	NA	NA	NA	NA	NA
AC073063.10	80.00014874588565	-0.6261053317365949	0.44300416995762	-1.413317016398494	0.1575625328659085	0.5884436941304367
AC073065.3	8.03891022041991	-0.4719649284348154	0.5924346818578338	-0.7966531043637863	0.4256525266780499	0.7933936468931017
AC073069.2	3.6827476396996603	-3.254095414903558	1.3584100618710095	-2.3955177499359226	0.016596910628703863	NA
AC073072.6	0	NA	NA	NA	NA	NA
AC073072.7	0.8920330548513434	-2.6865098718186	3.272965822031353	-0.8208181868979092	0.4117498376264698	NA
AC073091.2	0	NA	NA	NA	NA	NA
AC073107.1	10.335773947762476	-0.8994672519748255	0.5609886067894305	-1.6033609971555882	0.10885497678107431	0.5135684666583038
AC073109.2	7.406556051977336	-0.23617217210878863	0.6478615096404872	-0.36454113818221096	0.7154539601297172	0.918619063754623
