target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
WDR24	0.4492672908638107	0.9179579599157831	0.5724997445657927	4.845517396664308	1	8.591310302116518	0.346108385476022	0.013201220566635736	0.3329071649093862	0.5371129981091997	0.5371129981091997
TP53I3	0.29323402861491465	0.9179579599157831	1.1047134156996066	9.243387808888901	1	7.973527349947401	0.6602419863492074	0.006673156235395317	0.6535688301138118	0.618585630766479	0.6535688301138118
RP5-916O11.3	0.17673198503954893	0.9179579599157831	1.8248927194762032	19.97487767394072	1	3.5690639887243614	1.4267769767100515	0.2104122672229221	1.2163647094871295	1.3880988186215324	1.3880988186215324
IL1RL1	0.393921561274766	0.9179579599157831	0.7268025888751595	36.015307994858105	1	4.687230375135679	2.572521999632721	0.09999169920755858	2.4725303004251633	1.404048667304888	2.4725303004251633
IMMP2L	0.4327695670434829	0.9179579599157831	0.6153793022330873	4.002302518823327	1	7.847495525497184	0.2858787513445237	0.029350504254521594	0.25652824709000177	0.6401044196262368	0.6401044196262368
SMIM11	0.5911503065427836	0.9179579599157831	0.28855143033212016	5.851238637823434	1	6.830046556340257	0.41794561698738847	0.02564344558111184	0.3923021714062763	0.9095431457029095	0.9095431457029095
AC134873.1	0.39600308390735905	0.9179579599157831	0.7204294316747095	15.175668197844956	1	4.544017420648948	1.083976299846069	0.2951294334845342	0.788846866361534	1.4140676211734067	1.4140676211734067
RP11-175P13.3	0.5917098003681018	0.9179579599157831	0.2876820034579879	11.287087918916411	1	4.030771528616223	0.8062205656368865	0.11294987039574116	0.6932706952411454	1.4206874086732497	1.4206874086732497
TCF12	0.6454883810789639	0.9179579599157831	0.2116356844095577	5.386119945944943	1	11.45627004192637	0.3847228532817819	0.0016327421972488698	0.3830901110845328	0.49834568097139337	0.49834568097139337
CFLAR	0.29044969680811294	0.9179579599157831	1.1175357188957378	8.038417454537349	1	11.106570833234644	0.5741726753240942	0.0027664588249389395	0.5714062164991573	0.4879632705461839	0.5714062164991573
CTC-507E2.2	0.4946724661164189	0.9179579599157831	0.4663471534004273	17.422009503200083	1	3.1424892528970387	1.2444292502285772	0.2745305414866047	0.9698987087419727	1.3288125574152156	1.3288125574152156
RPL5P30	0.4804421675599118	0.9179579599157831	0.49785946512056256	14.743001813731635	1	5.262561335259243	1.0530715581236885	0.07179973811039832	0.9812718200132899	1.332749855750923	1.332749855750923
TPM3P9	0.26897219002612577	0.9179579599157831	1.22198120439948	3.5749073822331883	1	9.083815745065895	0.2553505273023704	0.012278204364606565	0.243072322937764	0.5000106841652079	0.5000106841652079
C21orf140	0.5823605443234104	0.9179579599157831	0.3024339766524591	5.647949968692809	1	4.817732697680109	0.4034249977637721	0.08287127838979137	0.32055371937398075	1.39206478514598	1.39206478514598
PAGR1	0.5105034755148533	0.9179579599157831	0.4330349793781636	4.487109241254969	1	8.740661279565424	0.3205078029467832	0.005457695030306049	0.3150501079164774	0.5238456041744453	0.5238456041744453
RP11-531F16.3	0.3508391270664998	0.9179579599157831	0.8704197617498579	14.643538072650676	1	3.1273780554852895	1.045967005189334	0.20250213556257712	0.8434648696267568	1.3262301490059287	1.3262301490059287
PREPL	0.47598918988415967	0.9179579599157831	0.5080385450711198	3.2588247966075965	1	11.634361853619744	0.23277319975768543	0.003883366563505724	0.22888983319417974	0.5047253724377431	0.5047253724377431
KCNE1	0.4428055201701915	0.9179579599157831	0.5890014283153562	61.551692341921495	1	5.785208966537428	4.396549452994392	0.18192899364820447	4.214620459346188	1.2204813435648485	4.214620459346188
PRRC1	0.6180111318442405	0.9179579599157831	0.24867283129014695	5.629694577487404	1	10.734482499008603	0.4021210412491004	0.0023623070913596444	0.39975873415774066	0.4799118144438347	0.4799118144438347
RAB11FIP5	0.6207265907818297	0.9179579599157831	0.2448476659078338	13.855661333645603	1	9.456314352390864	0.9896900952603968	0.035374428114748606	0.9543156671456516	0.4828056134181779	0.9543156671456516
RPL37A	0.39256036372504993	0.9179579599157831	0.7309965337587698	5.3833567230382755	1	14.196496800499817	0.3845254802170196	2.5722448387457584e-4	0.3842682557331451	0.6975577092608685	0.6975577092608685
LRRC37A9P	0.38882001463433485	0.9179579599157831	0.7426290012036745	23.970343310088168	1	4.049569084296852	1.7121673792920118	0.1941095595063282	1.5180578197856838	1.4212880414173112	1.5180578197856838
TPM3P6	0.6192611205785712	0.9179579599157831	0.2469074270708802	15.625468887224995	1	3.306008192304593	1.1161049205160714	0.3406758179606173	0.7754291025554538	1.3546958593706768	1.3546958593706768
RPL23AP64	0.25051633967260645	0.9179579599157831	1.320421940124227	5.987216338700956	1	6.671122737078007	0.4276583099072112	0.02118746924693031	0.40647084066028083	0.9549457550009613	0.9549457550009613
CUL4B	0.6461339036447505	0.9179579599157831	0.21080919456848335	3.1334846551212365	1	9.771947053114825	0.22382033250865974	0.0015619875528277267	0.22225834495583205	0.47536124086005277	0.47536124086005277
AC006978.6	0.2605813676962453	0.9179579599157831	1.265665707915879	6.076855670095115	1	5.86208914866911	0.43406111929250824	0.0407564720391895	0.3933046472533187	1.1983153424094548	1.1983153424094548
GAS2L1	0.5667516164584202	0.9179579599157831	0.3281480619835335	13.214458681789774	1	7.963508362026977	0.9438899058421253	0.039126795842709	0.9047631099994178	0.6202492174004085	0.9047631099994178
CTD-2224J9.8	0.2737082587641698	0.9179579599157831	1.1980675318426108	9.9839668540565345	1	3.0262887339754116	0.7131404895754665	0.14836991414761408	0.5647705754278527	1.3081495421548246	1.3081495421548246
RP11-464D20.2	0.6353116996013963	0.9179579599157831	0.22492628875220788	11.598192933463219	1	4.081694803470697	0.82844235239023	0.15429252936485063	0.6741498230253793	1.4221754845576027	1.4221754845576027
PPIH	0.4060723169315502	0.9179579599157831	0.6902707116017233	2.7674879851241863	1	8.42210066769512	0.19767771322315697	0.006383028425037322	0.19129468479811884	0.5547867143372377	0.5547867143372377
MVP	0.4081912956340823	0.9179579599157831	0.6840625629325388	16.760054387322086	1	9.515522360846047	1.197146741951577	0.0027928963003783884	1.194353845651199	0.48093002847860733	1.194353845651199
KDELC2	0.45331346068154527	0.9179579599157831	0.5623536798705189	4.296984522439863	1	8.93120181261578	0.3069274658885613	0.012010319999431827	0.2949171458891298	0.5095640338195602	0.5095640338195602
METRN	0.6255159306639478	0.9179579599157831	0.238190728458342	20.352852083422817	1	4.10822945916067	1.4537751488159156	0.1655091668880735	1.2882659819278421	1.422763111190968	1.422763111190968
CNOT2	0.5676388856139142	0.9179579599157831	0.32664914673684464	3.0667939215884608	1	10.247237461963781	0.2190567086848909	0.003383404944381816	0.21567330374050822	0.4738792470456086	0.4738792470456086
RP11-575G13.2	0.56311510079815	0.9179579599157831	0.33433921947767686	16.95087100755668	1	4.269330485127699	1.2107765005397626	0.13029499544279294	1.08048150509697	1.4235208181258994	1.4235208181258994
LYNX1	0.4383961595255199	0.9179579599157831	0.6004768093527773	62.913716615232055	1	6.570856597788779	4.493836901088002	0.04321574359771371	4.45062115749029	0.9820378231610721	4.45062115749029
TFPI	0.6272595562700969	0.9179579599157831	0.2357953632997294	23.58575676254805	1	8.653804818962094	1.6846969116105759	0.006053681372124692	1.6786432302384504	0.5313238155992478	1.6786432302384504
STX3	0.6305203976884255	0.9179579599157831	0.2313557225900027	4.158227678522514	1	9.785370618774351	0.29701626275160853	0.0058738632969752985	0.2911423994546328	0.47517436045318234	0.47517436045318234
IFRD2	0.26408216796390355	0.9179579599157831	1.2472301279330722	6.758285164319319	1	8.639392471898065	0.4827346545942376	0.00738850633673401	0.4753461482575031	0.5326277955964275	0.5326277955964275
RP11-401L13.5	0.14572350215392268	0.9179579599157831	2.1164549763621068	22.738697815478083	1	3.401121495724806	1.6241927011055777	0.27779926990839177	1.3463934311971857	1.3679705529432458	1.3679705529432458
LGALS9C	0.4375405036951201	0.9179579599157831	0.6027242009145368	56.75448165504269	1	5.3965415108621775	4.053891546788763	0.17429856501418478	3.879592981774579	1.309929729035649	3.879592981774579
CEACAM6	0.2753846347349432	0.9179579599157831	1.1897269791794827	146.93129852685297	1	10.706224893908841	10.495092751918069	0.00802934279816579	10.487063409119903	0.4794229007468145	10.487063409119903
PABPC4L	0.1605723595263695	0.9179579599157831	1.9688276102170335	21.804738430957205	1	5.524785373436115	1.5574813164969425	0.062027337060601935	1.4954539794363413	1.2855024375842983	1.4954539794363413
AC005822.1	0.6101499308574773	0.9179579599157831	0.2599566609570516	9.05932994237966	1	2.8857442805669726	0.6470949958842618	0.3033437545492096	0.34375124133505186	1.2807529158794224	1.2807529158794224
CSGALNACT2	0.3707472280277631	0.9179579599157831	0.8011584819864055	9.501806439799672	1	9.997417302711057	0.6787004599856903	0.004360305374426751	0.6743401546112641	0.47342687954684476	0.6743401546112641
ACAT2	0.5927049383167	0.9179579599157831	0.2861397769310443	14.350669341009498	1	8.457221080095266	1.0250478100721083	0.007317509212233203	1.0177303008598737	0.5508227491575681	1.0177303008598737
DPY19L2P2	0.47054519769724606	0.9179579599157831	0.5206953932571707	22.792315985107766	1	8.375749158511702	1.6280225703648403	0.016111430836522597	1.6119111395283179	0.5602727555756967	1.6119111395283179
RP11-12J10.3	0.347384883619468	0.9179579599157831	0.8829869404463153	11.392314812707397	1	4.240486450493843	0.8137367723362425	0.531530445250886	0.28220632708535665	1.4237359875840434	1.4237359875840434
FAM173A	0.43894106784871845	0.9179579599157831	0.599049099527555	6.192389963785393	1	5.999771645956996	0.442313568841813	0.07098493084229718	0.3713286379995166	1.1565871130911871	1.1565871130911871
CCDC171	0.5265069549243334	0.9179579599157831	0.4011286404157559	5.556766452836124	1	7.593660147062763	0.3969118894882941	0.015541182964263706	0.3813707065240308	0.6873491503840857	0.6873491503840857
PCDH18	0.41049840625451034	0.9179579599157831	0.6773567503099684	24.266713164371215	1	8.66246110248909	1.733336654597947	0.030039373171515723	1.7032972814264282	0.5305494287921014	1.7032972814264282
RTEL1-TNFRSF6B	0.20350844740418927	0.9179579599157831	1.617015419500838	7.769378185471345	1	9.575152524522881	0.5549555846765234	0.01481148771698742	0.5401440969595372	0.4792763108137219	0.5401440969595372
ZCCHC9	0.46871670179429314	0.9179579599157831	0.5249997181699761	5.041549890302241	1	7.812335223786006	0.36011070645016013	0.011618776023610368	0.34849193042654963	0.6463178214249532	0.6463178214249532
